,age1,age2,best_of,draw_size,hand1,hand2,ht1,ht2,id1,id2,ioc1,ioc2,loser1,loser2,match_num,name1,rank1,rank2,round,win,year
19522,19.2224503765,23.3921971253,5,128,R,R,180,178,100437,100272,SWE,USA,,Sandy Mayer,25,Bjorn Borg,5,36,1,1,1975
19530,23.3839835729,38.132785763200005,5,128,R,R,183,173,100273,100025,AUS,AUS,,Barry Phillips Moore,33,Kim Warwick,39,96,1,1,1975
19531,28.366872005500003,28.7008898015,5,128,R,R,188,193,100135,100126,NZL,USA,,Stan Smith,34,Onny Parun,21,17,1,1,1975
19533,22.1848049281,24.511978097199997,5,128,R,R,183,183,100309,100231,MEX,USA,,Erik Van Dillen,36,Raul Ramirez,14,56,1,1,1975
19537,29.106091718000002,27.994524298400002,5,128,R,R,183,180,100119,100144,ROU,USA,,Robert Lutz,40,Ilie Nastase,8,29,1,1,1975
19548,25.53045859,25.9192334018,5,128,R,R,183,193,100203,100186,AUS,USA,,Jeff Borowiak,51,Phil Dent,30,50,1,1,1975
19566,21.3004791239,31.509924709099998,5,128,R,R,183,178,100332,100084,HUN,NED,,Tom Okker,69,Balazs Taroczy,51,6,2,1,1975
19567,35.6221765914,20.9993155373,5,128,R,R,190,178,100040,100343,RSA,GBR,,John Lloyd,70,Bob Hewitt,42,90,2,1,1975
19568,26.5708418891,24.1478439425,5,128,R,R,188,190,100173,100244,USA,AUS,,John Alexander,71,Andrew Pattison,46,13,2,1,1975
19570,32.1314168378,21.7002053388,5,128,R,R,185,193,100074,100321,USA,IND,,Vijay Amritraj,73,Arthur Ashe,7,32,2,1,1975
19572,24.5065023956,28.654346338099998,5,128,R,R,170,175,100232,100128,USA,USA,,Cliff Richey,75,Eddie Dibbs,27,22,2,1,1975
19578,28.366872005500003,23.3839835729,5,128,R,R,188,183,100135,100273,NZL,AUS,,Kim Warwick,81,Onny Parun,21,39,2,1,1975
19583,33.5441478439,21.0869267625,5,128,R,R,180,183,100062,100342,FRA,USA,,Vitas Gerulaitis,86,Francois Jauffret,47,19,2,1,1975
19586,26.3244353183,23.5811088296,5,128,R,R,178,183,100179,100261,GER,USA,,Brian Gottfried,89,Karl Meiler,38,25,2,1,1975
19587,23.865845311399998,25.53045859,5,128,L,R,183,183,100255,100203,USA,AUS,,Phil Dent,90,Roscoe Tanner,11,30,2,1,1975
19589,29.2320328542,30.2778918549,5,128,R,L,180,178,100115,100100,CHI,AUS,,Tony Roche,92,Jaime Fillol,24,12,2,1,1975
19594,22.981519507199998,27.3347022587,5,128,L,R,178,173,100284,100160,USA,FRA,,Georges Goven,97,Jimmy Connors,1,73,3,1,1975
19595,22.9404517454,23.0636550308,5,128,R,R,168,183,100286,100280,USA,POL,,Wojtek Fibak,98,Harold Solomon,15,70,3,1,1975
19596,35.6221765914,21.3004791239,5,128,R,R,190,183,100040,100332,RSA,HUN,,Balazs Taroczy,99,Bob Hewitt,42,51,3,1,1975
19599,24.5065023956,22.4887063655,5,128,R,R,170,178,100232,100300,USA,ESP,,Jose Higueras,102,Eddie Dibbs,27,62,3,1,1975
19602,22.1848049281,28.366872005500003,5,128,R,R,183,188,100309,100135,MEX,NZL,,Onny Parun,105,Raul Ramirez,14,21,3,1,1975
19606,26.3244353183,23.865845311399998,5,128,R,L,178,183,100179,100255,GER,USA,,Roscoe Tanner,109,Karl Meiler,38,11,3,1,1975
19609,23.0253251198,24.5201916496,5,128,L,R,180,188,100282,100229,ARG,USA,,Dick Stockton,112,Guillermo Vilas,3,16,3,1,1975
19610,22.981519507199998,22.9404517454,5,128,L,R,178,168,100284,100286,USA,USA,,Harold Solomon,113,Jimmy Connors,1,15,4,1,1975
19611,26.5708418891,35.6221765914,5,128,R,R,188,190,100173,100040,USA,RSA,,Bob Hewitt,114,Andrew Pattison,46,42,4,1,1975
19612,24.5065023956,32.1314168378,5,128,R,R,170,185,100232,100074,USA,USA,,Arthur Ashe,115,Eddie Dibbs,27,7,4,1,1975
19613,19.2224503765,37.0485968515,5,128,R,L,180,173,100437,100029,SWE,AUS,,Rod Laver,116,Bjorn Borg,5,10,4,1,1975
19614,29.106091718000002,22.1848049281,5,128,R,R,183,183,100119,100309,ROU,MEX,,Raul Ramirez,117,Ilie Nastase,8,14,4,1,1975
19615,26.5516769336,33.5441478439,5,128,L,R,178,180,100174,100062,ESP,FRA,,Francois Jauffret,118,Manuel Orantes,9,47,4,1,1975
19616,29.2320328542,26.3244353183,5,128,R,R,180,178,100115,100179,CHI,GER,,Karl Meiler,119,Jaime Fillol,24,38,4,1,1975
