,age1,age2,best_of,draw_size,ht1,ht2,ioc1,ioc2,match_num,rank1,rank2,round,win,year
53320,24.4709103354,26.466803559200002,5,128,175,188,SWE,ISR,47,113,63,1,1,1984
53321,31.811088295700003,25.6865160849,5,128,178,190,USA,USA,48,3,99,1,1,1984
53322,19.857631759100002,29.626283367600003,5,128,175,188,USA,RSA,49,5,109,1,1,1984
53323,27.2197125257,25.2895277207,5,128,183,185,ITA,USA,50,46,86,1,1,1984
53324,20.1013004791,25.7056810404,5,128,190,185,SVK,USA,51,57,143,1,1,1984
53325,22.9158110883,23.4715947981,5,128,180,175,RSA,USA,52,80,115,1,1,1984
53326,20.4271047228,32.977412731,5,128,185,190,GBR,AUS,53,281,84,1,1,1984
53327,32.7967145791,30.7104722793,5,128,180,193,USA,USA,54,51,125,1,1,1984
53328,18.1081451061,20.7310061602,5,128,178,185,AUS,GBR,55,268,525,1,1,1984
53329,28.098562628299998,26.9240246407,5,128,190,178,CZE,USA,56,15,121,1,1,1984
53330,21.8288843258,22.9514031485,5,128,188,180,USA,SWE,57,24,11,1,1,1984
53331,21.3442847365,24.5886379192,5,128,188,180,SWE,USA,58,34,102,1,1,1984
53332,20.8240930869,32.3559206023,5,128,178,190,USA,GBR,59,89,393,1,1,1984
53333,29.8288843258,26.2997946612,5,128,178,175,GBR,GER,60,57,82,1,1,1984
53334,28.5831622177,28.490075290900002,5,128,185,173,GER,CZE,61,83,92,1,1,1984
53335,24.9664613279,28.205338809,5,128,183,183,HUN,USA,62,73,20,1,1,1984
53336,24.7775496235,26.9650924025,5,128,185,188,USA,FRA,63,110,196,1,1,1984
53337,24.301163586599998,33.3497604381,5,128,188,188,USA,USA,64,2,667,1,1,1984
53338,25.3552361396,22.8583162218,5,128,180,188,USA,USA,65,1,69,2,1,1984
53339,21.1197809719,19.6167008898,5,128,180,188,AUS,SUI,66,65,99,2,1,1984
53340,16.59137577,25.87816564,5,128,190,183,GER,NGR,67,176,52,2,1,1984
53341,27.613963039,21.697467488,5,128,185,193,USA,ISR,68,17,144,2,1,1984
53342,29.916495551,30.1300479124,5,128,183,183,USA,HUN,69,18,68,2,1,1984
53343,22.8774811773,27.9780971937,5,128,185,190,USA,RSA,70,45,144,2,1,1984
53344,27.7645448323,24.295687885,5,128,188,180,USA,USA,71,76,120,2,1,1984
53345,26.4476386037,21.6865160849,5,128,175,188,CHI,AUS,72,106,206,2,1,1984
53346,19.0800821355,19.8412046543,5,128,183,183,AUS,SWE,73,33,4,2,1,1984
53347,24.339493497600003,23.490759753600003,5,128,180,183,BRA,AUS,74,62,41,2,1,1984
53348,23.055441478400002,27.2963723477,5,128,170,180,IND,NZL,75,60,22,2,1,1984
53349,26.3162217659,22.392881588,5,128,185,185,USA,USA,76,12,54,2,1,1984
53350,30.0041067762,20.3203285421,5,128,185,188,AUS,SWE,77,85,9,2,1,1984
53351,32.1724845996,21.0896646133,5,128,178,185,USA,USA,78,91,243,2,1,1984
53352,19.4715947981,22.0342231348,5,128,190,175,FRA,CAN,79,165,89,2,1,1984
53353,24.3258042437,21.4811772758,5,128,193,190,ECU,GBR,80,6,239,2,1,1984
53354,21.2676249144,24.5475701574,5,128,185,190,USA,USA,81,243,48,2,1,1984
53355,21.6728268309,26.4476386037,5,128,185,193,RSA,USA,82,322,121,2,1,1984
53356,26.1793292266,20.2546201232,5,128,193,173,USA,GER,83,81,126,2,1,1984
53357,26.2231348392,18.431211499,5,128,175,188,USA,SWE,84,13,25,2,1,1984
53358,23.893223819299998,28.599589322399996,5,128,190,193,USA,PAR,85,19,105,2,1,1984
53359,32.7967145791,20.4271047228,5,128,180,185,USA,GBR,86,51,281,2,1,1984
53360,25.6098562628,27.3319644079,5,128,183,180,USA,USA,87,78,313,2,1,1984
53361,31.811088295700003,24.4709103354,5,128,178,175,USA,SWE,88,3,113,2,1,1984
53362,19.857631759100002,27.2197125257,5,128,175,183,USA,ITA,89,5,46,2,1,1984
53363,22.9158110883,20.1013004791,5,128,180,190,RSA,SVK,90,80,57,2,1,1984
53364,32.7967145791,20.4271047228,5,128,180,185,USA,GBR,91,51,281,2,1,1984
53365,28.098562628299998,18.1081451061,5,128,190,178,CZE,AUS,92,15,268,2,1,1984
53366,21.8288843258,21.3442847365,5,128,188,188,USA,SWE,93,24,34,2,1,1984
53367,29.8288843258,20.8240930869,5,128,178,178,GBR,USA,94,57,89,2,1,1984
53368,28.5831622177,24.9664613279,5,128,185,183,GER,HUN,95,83,73,2,1,1984
53369,24.301163586599998,24.7775496235,5,128,188,185,USA,USA,96,2,110,2,1,1984
53370,25.3552361396,21.1197809719,5,128,180,180,USA,AUS,97,1,65,3,1,1984
53371,27.613963039,16.59137577,5,128,185,190,USA,GER,98,17,176,3,1,1984
53372,29.916495551,22.8774811773,5,128,183,185,USA,USA,99,18,45,3,1,1984
53373,27.7645448323,26.4476386037,5,128,188,175,USA,CHI,100,76,106,3,1,1984
53374,19.0800821355,24.339493497600003,5,128,183,180,AUS,BRA,101,33,62,3,1,1984
53375,26.3162217659,23.055441478400002,5,128,185,170,USA,IND,102,12,60,3,1,1984
53376,32.1724845996,30.0041067762,5,128,178,185,USA,AUS,103,91,85,3,1,1984
